PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
"Silver, Dissolved",2,mg/L,ug/L,NA,NA
"Silver, Total",2,mg/L,ug/L,NA,NA
"Silver, Total Recoverable",2,ug/L,mg/L,NA,NA
"Sodium, Dissolved",1,mg/L,NA,NA,NA
"Sodium, Total",1,mg/L,NA,NA,NA
Soluble Biochemical Oxygen Demand (5-day @ 20 Deg. C),1,mg/L,NA,NA,NA
Soluble Chemical Oxygen Demand,1,mg/L,NA,NA,NA
Styrene,1,ug/L,NA,NA,NA
"Sulfate, Total (as S)",1,mg/L,NA,NA,NA
"Sulfate, Total (as SO4)",1,mg/L,NA,NA,NA
"Sulfide, Dissolved (as S)",1,mg/L,NA,NA,NA
"Sulfide, Total (as S)",2,mg/L,ug/L,NA,NA
Sulfite (as SO3),1,mg/L,NA,NA,NA
Suspended Sediment Concentration (SSC),1,mg/L,NA,NA,NA
Tannin and Lignin,1,mg/L,NA,NA,NA
TCDD Equivalents,1,pg/L,NA,NA,NA
Temperature,1,Degrees C,NA,NA,NA
Terphenyl-d14,1,ug/L,NA,NA,NA
Tert-Amyl Methyl Ether (TAME),1,ug/L,NA,NA,NA
Tert-Butyl Alcohol (TBA),1,ug/L,NA,NA,NA
tert-Butylbenzene,1,ug/L,NA,NA,NA
"Tetrachloroethanes, Sum",1,ug/L,NA,NA,NA
Tetrachloroethene,1,ug/L,NA,NA,NA
Tetrachloroethylene,2,ug/L,ng/L,NA,NA
"Thallium, Dissolved",2,ug/L,mg/L,NA,NA
"Thallium, Total",2,mg/L,ug/L,NA,NA
"Tin, Dissolved",1,mg/L,NA,NA,NA
"Tin, Total",2,mg/L,ug/L,NA,NA
"Tin, Total Recoverable",1,mg/L,NA,NA,NA
"Titanium, Total",1,mg/L,NA,NA,NA
"Titanium, Total Recoverable",1,mg/L,NA,NA,NA
Toluene,3,ug/L,mg/L,ng/L,NA
Toluene-d8,2,mg/L,ug/L,NA,NA
Total Coliform,1,MPN/100 mL,NA,NA,NA
Total Dissolved Solids (TDS),1,mg/L,NA,NA,NA
Total Kjeldahl Nitrogen (TKN) (as N),1,mg/L,NA,NA,NA
Total Organic Carbon (TOC),1,mg/L,NA,NA,NA
"Total Organic Carbon (TOC), Percent Removal",1,%,NA,NA,NA
Total Solids (TS),1,mg/L,NA,NA,NA
Total Suspended Solids (TSS),1,mg/L,NA,NA,NA
"Total Suspended Solids (TSS), Net Value",1,mg/L,NA,NA,NA
Toxaphene,1,ug/L,NA,NA,NA
TPH as Kerosene,1,mg/L,NA,NA,NA
TPH as Motor Oil,1,mg/L,NA,NA,NA
"trans-1,2-Dichloroethene",1,ug/L,NA,NA,NA
"trans-1,2-Dichloroethylene",2,ug/L,ng/L,NA,NA
"trans-1,3-Dichloropropene",1,ug/L,NA,NA,NA
"trans-1,3-Dichloropropylene",2,ug/L,ng/L,NA,NA
trans-Nonachlor,2,ug/L,pg/L,NA,NA
Trichloroethene,1,ug/L,NA,NA,NA
Trichloroethylene,3,ug/L,mg/L,ng/L,NA
Trichlorofluoromethane,1,ug/L,NA,NA,NA
Trichlorotrifluoroethane,1,ug/L,NA,NA,NA
Tritium,1,PCi/L,NA,NA,NA
Turbidity,1,NTU,NA,NA,NA
"Vanadium, Dissolved",2,mg/L,ug/L,NA,NA
"Vanadium, Total",2,mg/L,ug/L,NA,NA
"Vanadium, Total Recoverable",1,mg/L,NA,NA,NA
Vinyl acetate,1,ug/L,NA,NA,NA
Vinyl Chloride,2,ug/L,mg/L,NA,NA
Volatile Organic Compounds (VOCs),1,ug/L,NA,NA,NA
Volatile Suspended Solids (VSS),1,mg/L,NA,NA,NA
"Xylenes, Total",2,ug/L,ng/L,NA,NA
"Zinc, Dissolved",2,mg/L,ug/L,NA,NA
"Zinc, Total",2,mg/L,ug/L,NA,NA
"Zinc, Total Recoverable",2,mg/L,ug/L,NA,NA
